ID,LABEL,MORSE
1,W SO NOT SURE WAT TO CHASE   ,.__ ...|___ _.|___|_ ...|.._|._.|. .__|._|_ _|___ _._.|....|._|...|.| 
5,WC2K WHO IS ONE OF THE OWNERS I THINK IS IN A GROUP IM IN ON 75 SSB,.__|_._.|..___|_._ .__|....|___ ..|... ___|_.|. ___|.._. _|....|. ___|.__|_.|.|._.|... .. _|....|..|_.|_._ ..|... ..|_. ._ __.|._.|___|.._|.__. ..|__ ..|_. ___|_. __...|..... ...|...|_...
10,HEBN AROUND HERELONG TIME ES FB FELLOW,....|.|_...|_. ._|._.|___|.._|_.|._. ....|.|._.|.|._..|___|_.|__. _|..|__|. .|... .._.|_... .._.|.|._..|._..|___|.__
14,R DE WA3MIX WL GUD CHRISTMAS YR ES QUIET NEW YR,._. ._.|. .__|._|...__|__|..|_.._ .__|._.. __.|.._|._. _._.|....|._.|..|...|_|__|._|... _.__|._. .|... __._|.._|..|.|_ _.|.|.__ _.__|._.
17,GESS I NEED TO GV HIM A CALL,__.|.|...|... .. _.|.|.|._. _|___ __.|..._ ....|..|__ ._ _._.|._|._..|._..
23,OK WONT KEEP U MNI TNX FER QSO ES BCNUAGN SN LOU 73 ES HNY CUL GE SK WA3MIX DE N2ATB SK TU E E,___|_._ .__|___|_.|_ _._|.|.|.__. .._ __|_.|.. _|_.|_.._ .._.|.|._. __._|...|___ .|... _...|_._.|_.|.._|._|__.|_. ...|_. ._..|___|.._ __...|...__ .|... ....|_.|_.__ _._.|.._|._.. __.|. ...|_._ .__|._|...__|__|..|_.._ ._.|. _.|..___|._|_|_... ...|_._ _|.._ . .
25,IK QSL CARL ES UR SIG UP NOW 599 HI 73 DE K0SKC EE 73 EE ,..|_._ __._|...|._.. _._.|._|._.|._.. .|... .._|._. ...|..|__. .._|.__. _.|___|.__ .....|____.|____. ....|.. __...|...__ ._.|. _._|_____|...|_._|_._. .|. __...|...__ .|.| 
29,K1MS/B FN42 K1MS/B FN42,_._|.____|__|...|_.._.|_... .._.|_.|...._|..___ _._|.____|__|...|_.._.|_... .._.|_.|...._|..___
34,THEN I D BOUGHT ONE OF THE FIRST KNWD TS580S,_|....|.|_. .. ._. _...|___|.._|__.|....|_ ___|_.|. ___|.._. _|....|. .._.|..|._.|...|_ _._|_.|.__|._. _|...|.....|___..|_____|...
36,WHILE I W E E E E IT WAS DE BEING REPAIRED BY KNWD I BOUGHT A K3 KIT,.__|....|..|._..|. .. .__ . . . . ..|_ .__|._|... ._.|. _...|.|..|_.|__. ._.|.|.__.|._|..|._.|.|._. _...|_.__ _._|_.|.__|._. .. _...|___|.._|__.|....|_ ._ _._|...__ _._|..|_
